         8	    0.000014501
        16	    0.000016179
        32	    0.000015440
        64	    0.000015659
       128	    0.000014420
       256	    0.000014501
       512	    0.000015821
      1024	    0.000015521
      2048	    0.000015621
      4096	    0.000017977
      8192	    0.000018282
     16384	    0.000018859
     32768	    0.000019498
     65536	    0.000032239
    131072	    0.000039716
    262144	    0.000061264
    524288	    0.000097136
   1048576	    0.000265379
   2097152	    0.000399518
   4194304	    0.000765743
   8388608	    0.001514883
  16777216	    0.003082676
  33554432	    0.006276679
  67108864	    0.014058561
 134217728	    0.028058820
 268435456	    0.055731378
 536870912	    0.108877559
1073741824	    0.219100261
